exoId;sknId;structureKinematicNameCategory
8;201;HAS_AIM_hoofddoel
18;201;HAS_AIM_hoofddoel
27;201;HAS_AIM_hoofddoel
29;201;HAS_AIM_hoofddoel
34;201;HAS_AIM_hoofddoel
38;201;HAS_AIM_nevendoel
30;202;HAS_AIM_hoofddoel
10;203;HAS_AIM_hoofddoel
10;204;HAS_AIM_hoofddoel
15;301;HAS_AIM_hoofddoel
5;302;HAS_AIM_hoofddoel
7;302;HAS_AIM_hoofddoel
15;302;HAS_AIM_hoofddoel
18;302;HAS_AIM_hoofddoel
20;302;HAS_AIM_hoofddoel
22;302;HAS_AIM_hoofddoel
25;302;HAS_AIM_hoofddoel
26;302;HAS_AIM_hoofddoel
27;302;HAS_AIM_hoofddoel
29;302;HAS_AIM_hoofddoel
30;302;HAS_AIM_nevendoel
32;302;HAS_AIM_hoofddoel
33;302;HAS_AIM_hoofddoel
34;302;HAS_AIM_hoofddoel
35;302;HAS_AIM_hoofddoel
5;303;HAS_AIM_hoofddoel
7;303;HAS_AIM_hoofddoel
15;303;HAS_AIM_hoofddoel
20;303;HAS_AIM_hoofddoel
22;303;HAS_AIM_hoofddoel
25;303;HAS_AIM_hoofddoel
26;303;HAS_AIM_hoofddoel
27;303;HAS_AIM_nevendoel
30;303;HAS_AIM_hoofddoel
32;303;HAS_AIM_hoofddoel
33;303;HAS_AIM_hoofddoel
35;303;HAS_AIM_hoofddoel
5;304;HAS_AIM_hoofddoel
7;304;HAS_AIM_hoofddoel
15;304;HAS_AIM_hoofddoel
20;304;HAS_AIM_hoofddoel
22;304;HAS_AIM_hoofddoel
25;304;HAS_AIM_hoofddoel
26;304;HAS_AIM_hoofddoel
30;304;HAS_AIM_nevendoel
32;304;HAS_AIM_hoofddoel
33;304;HAS_AIM_hoofddoel
35;304;HAS_AIM_hoofddoel
5;305;HAS_AIM_hoofddoel
7;305;HAS_AIM_hoofddoel
15;305;HAS_AIM_hoofddoel
20;305;HAS_AIM_hoofddoel
22;305;HAS_AIM_hoofddoel
25;305;HAS_AIM_hoofddoel
26;305;HAS_AIM_hoofddoel
30;305;HAS_AIM_hoofddoel
32;305;HAS_AIM_hoofddoel
33;305;HAS_AIM_hoofddoel
35;305;HAS_AIM_hoofddoel
2;401;HAS_AIM_hoofddoel
6;401;HAS_AIM_hoofddoel
12;401;HAS_AIM_hoofddoel
13;401;HAS_AIM_nevendoel
14;401;HAS_AIM_nevendoel
17;401;HAS_AIM_hoofddoel
21;401;HAS_AIM_hoofddoel
31;401;HAS_AIM_hoofddoel
36;401;HAS_AIM_hoofddoel
