n,r,m
"(:JointT {jointTName: Nek, jointTId: 1})",[:HAS_DOF],"(:Dof {dofId: 9, nameNeg: extensie van de nek, dofDirection: ExtFlex, namePos: flexie van de nek, dofName: Flexie(+)/Extensie(-)_Nek})"
"(:JointT {jointTName: Nek, jointTId: 1})",[:HAS_DOF],"(:Dof {dofId: 10, nameNeg: lateroflexie van de nek naar links, dofDirection: AddAbd, namePos: lateroflexie van de nek naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Nek})"
"(:JointT {jointTName: Nek, jointTId: 1})",[:HAS_DOF],"(:Dof {dofId: 11, nameNeg: rotatie van de nek naar links, dofDirection: EndoExo, namePos: rotatie van de nek naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Nek})"
"(:JointT {jointTName: Heup, jointTId: 6})",[:HAS_DOF],"(:Dof {dofId: 4, nameNeg: extensie van de heup, dofDirection: ExtFlex, namePos: flexie van de heup, dofName: Flexie(+)/Extensie(-)_Heup})"
"(:JointT {jointTName: Heup, jointTId: 6})",[:HAS_DOF],"(:Dof {dofId: 5, nameNeg: adductie van de heup, dofDirection: AddAbd, namePos: abductie van de heup, dofName: Abductie(+)/Adductie(-)_Heup})"
"(:JointT {jointTName: Heup, jointTId: 6})",[:HAS_DOF],"(:Dof {dofId: 6, nameNeg: endorotatie van de heup, dofDirection: EndoExo, namePos: exorotatie van de heup, dofName: Exo(+)/Endo(-)rotatie_Heup})"
"(:JointT {jointTName: Rug, jointTId: 7})",[:HAS_DOF],"(:Dof {dofId: 1, nameNeg: extensie van de rug, dofDirection: ExtFlex, namePos: flexie van de rug, dofName: Flexie(+)/Extensie(-)_Rug})"
"(:JointT {jointTName: Rug, jointTId: 7})",[:HAS_DOF],"(:Dof {dofId: 2, nameNeg: lateroflexie van de rug naar links, dofDirection: AddAbd, namePos: lateroflexie van de rug naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Rug})"
"(:JointT {jointTName: Rug, jointTId: 7})",[:HAS_DOF],"(:Dof {dofId: 3, nameNeg: rotatie van de rug naar links, dofDirection: EndoExo, namePos: rotatie van de rug naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Rug})"
"(:JointT {jointTName: Knie, jointTId: 8})",[:HAS_DOF],"(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:JointT {jointTName: Knie, jointTId: 8})",[:HAS_DOF],"(:Dof {dofId: 20, nameNeg: endorotatie van de knie, dofDirection: EndoExo, namePos: exorotatie van de knie, dofName: Exo(+)/Endo(-)rotatie_Knie})"
"(:JointT {jointTName: Enkel, jointTId: 9})",[:HAS_DOF],"(:Dof {dofId: 21, nameNeg: plantairflexie van de enkel, dofDirection: ExtFlex, namePos: dorsiflexie van de enkel, dofName: Dorsi(+)/Plantair(-)flexie_Enkel})"
"(:JointT {jointTName: Schouder, jointTId: 10})",[:HAS_DOF],"(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:JointT {jointTName: Schouder, jointTId: 10})",[:HAS_DOF],"(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:JointT {jointTName: Schouder, jointTId: 10})",[:HAS_DOF],"(:Dof {dofId: 14, nameNeg: endorotatie van de schouder, dofDirection: EndoExo, namePos: exorotatie van de schouder, dofName: Exo(+)/Endo(-)rotatie_Schouder})"
"(:JointT {jointTName: Elleboog, jointTId: 11})",[:HAS_DOF],"(:Dof {dofId: 15, nameNeg: extensie van de elleboog, dofDirection: ExtFlex, namePos: flexie van de elleboog, dofName: Flexie(+)/Extensie(-)_Elleboog})"
"(:JointT {jointTName: Pols, jointTId: 12})",[:HAS_DOF],"(:Dof {dofId: 16, nameNeg: pronatie van de pols, dofDirection: EndoExo, namePos: supinatie van de pols, dofName: Supinatie(+)/Pronatie(-)_Pols})"
"(:JointT {jointTName: Pols, jointTId: 12})",[:HAS_DOF],"(:Dof {dofId: 17, nameNeg: dorsiflexie van de pols, dofDirection: ExtFlex, namePos: palmairflexie van de pols, dofName: Palmair(+)/Dorsi(-)flexie_Pols})"
"(:JointT {jointTName: Pols, jointTId: 12})",[:HAS_DOF],"(:Dof {dofId: 18, nameNeg: ulnaire deviatie van de pols, dofDirection: AddAbd, namePos: radiale deviatie van de pols, dofName: Radiale(+)/Ulnaire(-) Deviatie_Pols})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 18, exoDescription: De Archelis for Medical is een passief exoskelet dat de benen en onderrug ontlast bij langdurig staand werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Archelis for Medical, exoManufacturer: Archelis Inc})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 20, exoDescription: De Exowaist is een passief exoskelet dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Exowaist, exoManufacturer: Cyber Human Systems})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 29, exoDescription: De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Chairless Chair, exoManufacturer: Noonee})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 33, exoDescription: De Laevo Flex is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Laevo Flex, exoManufacturer: Laevo})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 34, exoDescription: De LEX Bionic Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LEX Bionic Chair, exoManufacturer: Astride Bionics})",[:DOESNT_GO_WITH],"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})"
