n,r,m
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 2, nameNeg: lateroflexie van de rug naar links, dofDirection: AddAbd, namePos: lateroflexie van de rug naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 2, nameNeg: lateroflexie van de rug naar links, dofDirection: AddAbd, namePos: lateroflexie van de rug naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 3, nameNeg: rotatie van de rug naar links, dofDirection: EndoExo, namePos: rotatie van de rug naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 3, nameNeg: rotatie van de rug naar links, dofDirection: EndoExo, namePos: rotatie van de rug naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 10, nameNeg: lateroflexie van de nek naar links, dofDirection: AddAbd, namePos: lateroflexie van de nek naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 10, nameNeg: lateroflexie van de nek naar links, dofDirection: AddAbd, namePos: lateroflexie van de nek naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 11, nameNeg: rotatie van de nek naar links, dofDirection: EndoExo, namePos: rotatie van de nek naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Nee, adjustable: Nee, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 11, nameNeg: rotatie van de nek naar links, dofDirection: EndoExo, namePos: rotatie van de nek naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 20, lowerBoundMaxAngle: 20, upperBoundMinAngle: 180, sizeAdjustable: Nee, mechanism: door momentenevenwicht, upperBoundMaxAngle: 180, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, maxAngle: -15, minAngle: -15, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
